Academic Program,Major Transcript Title,Major CIP Code
"CERTG-EPHD: Experiential PhD Leadership, Graduate Certificate",Experiential PhD Leadership,520210
"P-CERTG-EXTL: Experiential Teaching and Learning, Graduate Certificate",Experiential Teach and Learn,130301
"CERTG-EBIO: Experimental Biotechnology, Graduate Certificate",Experimental Biotechnology,261201
"MS-EXRL: Extended Realities, MS",Extended Realities,110105
"CERTG-EXMD: Extreme Medicine, Graduate Certificate",Extreme Medicine,519999
"MSF-FINA: Finance, MSF",Finance,520801
"MSF-FINA-E: Finance, MSF—Evening / Part-Time Program",Finance,520801
"MSF-FINA-O: Finance, MSF—Online",Finance,520801
"P-BS-FIAM: Finance and Accounting Management, BS",Finance and Accounting Mgmt,520801
"MSFMBA-E: Finance and Business Administration, MSFMBA—Part-Time",Finance/Business Admin,520801
"MSFMBA-FIBA: Finance and Business Administration, MSFMBA",Finance/Business Admin,520801
"MSFMBA-O: Finance and Business Administration, MSFMBA—Online",Finance/Business Admin,520801
"P-CERTG-FIMI: Financial Markets and Institutions, Graduate Certificate",Financial Mkts and Inst,520899
": Management, MS with Major in Fintech Management",Fintech Management,307104
"P-CERTG-FACC: Forensic Accounting, Graduate Certificate",Forensic Accounting,430406
"P-CERTG-FDDV: Fundraising and Development, Graduate Certificate",Fundraising and Development,520206
"BFA-GAAN: Game Art and Animation, BFA",Game Art and Animation,500605
"BFA-GAME: Game Design, BFA",Game Design,100304
"P-CERTG-GMDS: Game Design, Graduate Certificate",Game Design,100304
"BS-GDMT: Game Design and Music with Concentration in Music Technology, BS",Game Design/Music,100304
"CERTG-GMED: Game Experience Design, Graduate Certificate",Game Experience Design,100304
"CERTG-GMSC: Game Science, Graduate Certificate",Game Science,100304
"MS-GSAD: Game Science and Design, MS",Game Science and Design,100304
"P-CERTG-GINT: Geographic Information Systems, Graduate Certificate",Geographic Information Tech,110103
"BA-GLAS: Global Asian Studies, BA",Global Asian Studies,050103
"CERTG-GLDR: Global Doctoral Research, Graduate Certificate",Global Doctoral Research,302001
"P-CERTG-GSIR: Global Studies and International Relations, Graduate Certificate",Global Stu and Intl Relations,302001
"P-MS-GSIR: Global Studies and International Relations, MS",Global Stu and Intl Relations,302001
"BS-GIDM: Graphic and Information Design and Mathematics, BS",Graphic and Info. Design/Math,500499
"CERTG-HIME: Health Informatics Management and Exchange, Graduate Certificate",Health Info Mgmt  Exchange,512706
"CERTG-HISP: Health Informatics Privacy and Security, Graduate Certificate",Health Info Privacy  Secu,512706
"CERTG-HISE: Health Informatics Software Engineering, Graduate Certificate",Health Info Software Eng,512706
"MS-HEIN: Health Informatics, MS",Health Informatics,512706
"CERTG-HLAW: Health Law, Graduate Certificate",Health Law,220208
"CERTG-HLAP: Health Law and Policy, Graduate Certificate",Health Law and Policy,220208
"P-BS-HLMG: Health Management, BS",Health Management,510799
"P-CERTG-HLMG: Health Management, Graduate Certificate",Health Management,510799
"BS-HLSC: Health Science, BS",Health Science,510799
"P-BS-HLSC: Health Science, BS",Health Science,510799
"BS-HSLW: Health Science and Law, BS",Health Science and Law,440503
"BS-HSBA: Health Science and Business Administration, BS",Health Science/Business Admin,510799
"BS-HLCM: Health Science and Communication Studies, BS",Health Science/Comm Studies,510799
"BS-HSPS: Health Science and Psychology, BS",Health Science/Psychology,510799
"BS-HSSO: Health Science and Sociology, BS",Health Science/Sociology,510799
"BS-HSSP: Health Science and Spanish, BS",Health Science/Spanish,510799
"P-BS-HCAD: Healthcare Administration, BS",Healthcare Administration,510701
"P-CERTU-HCAD: Healthcare Administration, Undergraduate Certificate",Healthcare Administration,510701
"CERTG-CLAW: Healthcare Compliance, Graduate Certificate",Healthcare Compliance,220208
"DMSC-HCLD: Healthcare Leadership, DMSc",Healthcare Leadership,510701
"P-CERTG-HEDA: Higher Education Administration, Graduate Certificate",Higher Education Admin,130406
"P-MED-HEDA: Higher Education Administration, MEd",Higher Education Admin,130406
"BA-HIST: History, BA",History,540101
"BS-HIST: History, BS",History,540101
"MA-HIST: History, MA",History,540101
"PHD-HIST: History, PhD",History,540101
"PHD-HIST-A: History, PhD—Advanced Entry",History,540101
"BA-HICL: History, Culture, and Law, BA","History, Culture, and Law",220000
"BA-HIAS: History and Asian Studies, BA",History/Asian Studies,540101
"BA-HICJ: History and Criminal Justice, BA",History/Criminal Justice,540101
"BA-HICA: History and Cultural Anthropology, BA",History/Cultural Anthrop,540101
"BA-HIEC: History and Economics, BA",History/Economics,540101
"BS-HIEC: History and Economics, BS",History/Economics,540101
"BA-HIEN: History and English, BA",History/English,540101
"BA-HIPH: History and Philosophy, BA",History/Philosophy,540101
"BA-HIPS: History and Political Science, BA",History/Political Science,540101
"BA-HIRS: History and Religious Studies, BA",History/Religious Studies,540101
"BS-HHHS: Health Humanities and Health Science, BS",Hlth Humanities/Hlth Science,513204
"BA-HHPH: Health Humanities and Public Health, BA",Hlth Humanities/Public Hlth,513204
"PHD-HBSS: Human Behavior and Sustainability Sciences, PhD",Human Behavior and Sustain Sci,300601
"MS-HUFA: Human Factors, MS",Human Factors,142701
"MS-HMRS: Human Movement and Rehabilitation Sciences, MS",Human Movement  Rehab Science,512314
"MS-HMRS-EX: Human Movement and Rehabilitation Sciences, MS—Experiential",Human Movement  Rehab Science,512314
"PHD-HMRS: Human Movement and Rehabilitation Sciences, PhD",Human Movement  Rehab Science,512314
"PHD-HMRS-A: Human Movement and Rehabilitation Sciences, PhD—Advanced Entry",Human Movement  Rehab Science,512314
"CERTG-HURL: Human Resources Law, Graduate Certificate",Human Resources Law,220299
"P-CERTG-HRMG: Human Resources Management, Graduate Certificate",Human Resources Management,521001
"P-MS-HRMG: Human Resources Management, MS",Human Resources Management,521001
"CERTG-HMRL: Human Rights Law, Graduate Certificate",Human Rights Law,220209
"BA-HSVC: Human Services, BA",Human Services,440000
"BS-HSVC: Human Services, BS",Human Services,440000
"P-BS-HSVC: Human Services, BS",Human Services,440000
"P-MS-HSVC: Human Services, MS",Human Services,440000
"BA-HSCM: Human Services and Communication Studies, BA",Human Services/Comm Studies,440000
"BS-HSCJ: Human Services and Criminal Justice, BS",Human Services/Crim Justice,430199
"BA-HSIA: Human Services and International Affairs, BA",Human Services/Intl Affairs,440000
"BS-HUPS: Human Services and Psychology, BS",Human Services/Psychology,440000
"BA-HUSO: Human Services and Sociology, BA",Human Services/Sociology,449999
"BS-HUSO: Human Services and Sociology, BS",Human Services/Sociology,449999
"P-CERTG-HUIN: Human-Centered Informatics, Graduate Certificate",Human-Centered Informatics,110104
"CERTG-ICSE: Inclusive Computer Science Education, Graduate Certificate",Inclusive Computer Sci Educ,131321
"BSIE-INDE: Industrial Engineering, BSIE",Industrial Engineering,143501
"MSIE-INDE: Industrial Engineering, MSIE",Industrial Engineering,143501
"PHD-INDE: Industrial Engineering, PhD",Industrial Engineering,143501
"PHD-INDE-A: Industrial Engineering, PhD—Advanced Entry",Industrial Engineering,143501
"BSIE-IEBA: Industrial Engineering and Business Administration, BSIE",Industrial Engr/Business Admin,143501
"BSIE-IECS: Industrial Engineering and Computer Science, BSIE",Industrial Engr/Computer Sci,143501
"CERTG-IDEV: Information Design and Visualization, Graduate Certificate",Info Design and Visualization,500401
"MFA-IDDV: Information Design and Data Visualization, MFA",Info Dsgn  Data Visualization,303101
"MS-IDDV: Information Design and Data Visualization, MS",Info Dsgn  Data Visualization,303101
"P-CERTG-INSM: Information Security Management, Graduate Certificate",Info Security Management,439999
"P-MPS-INFM: Informatics, MPS",Informatics,110104
"CERTG-INET: Information Ethics, Graduate Certificate",Information Ethics,380104
"MSIS-INSY: Information Systems, MSIS",Information Systems,140903
"MSIS-INSY-B: Information Systems, MSIS—Bridge",Information Systems,140903
"MSIS-INSY-O: Information Systems, MSIS—Online",Information Systems,140903
"MSIS-IS-B-O: Information Systems, MSIS—Bridge—Online",Information Systems,140903
"P-BS-INFT: Information Technology, BS",Information Technology,110103
"P-CERTG-IAMG: Insurance Analytics and Management, Graduate Certificate",Insurance Analytics and Mgmt,521701
"P-MPS-IAMG: Insurance Analytics and Management, MPS",Insurance Analytics and Mgmt,521701
"P-CERTG-INHW: Integrative Health and Wellness, Graduate Certificate",Integrative Health  Wellness,510001
"CERTG-PLAW: Intellectual Property Law, Graduate Certificate",Intellectual Property Law,220212
"P-CERTG-INDS: Interactive Design, Graduate Certificate",Interactive Design,110801
"PHD-INTY: Interdisciplinary, PhD",Interdisciplinary,300000
"PHD-INTY-A: Interdisciplinary, PhD—Advanced Entry",Interdisciplinary,300000
"PHD-IDSM: Interdisciplinary Design and Media, PhD",Interdisciplinary Dsgn  Media,500401
"PHD-IDSM-A: Interdisciplinary Design and Media, PhD—Advanced Entry",Interdisciplinary Dsgn  Media,500401
"PHD-INTE: Interdisciplinary Engineering, PhD",Interdisciplinary Engineering,140101
"PHD-INTE-A: Interdisciplinary Engineering, PhD—Advanced Entry",Interdisciplinary Engineering,140101
"BS-INST: Interdisciplinary Studies, BS",Interdisciplinary Studies,240101
"P-BS-INST: Interdisciplinary Studies, BS",Interdisciplinary Studies,240101
"BA-INAF: International Affairs with African Studies Concentration, BA",International Affairs,450901
"BA-INAF: International Affairs with Asian Studies Concentration, BA",International Affairs,450901
"BA-INAF: International Affairs with European Studies Concentration, BA",International Affairs,450901
"BA-INAF: International Affairs with Latin American Studies Concentration, BA",International Affairs,450901
"BA-INAF: International Affairs with Middle East Studies Concentration, BA",International Affairs,450901
"BA-INAF: International Affairs, BA",International Affairs,450901
"MA-INAF: International Affairs, MA",International Affairs,450901
"BA-IAHI: International Affairs and History, BA",International Affairs/History,450901
"BSIB-INBU-NX: International Business, BSIB",International Business,521101
"BSIB-INBU-X: International Business, BSIB",International Business,521101
"CERTG-INBU: International Business, Graduate Certificate",International Business,521101
"CERTG-INBU-O: International Business, Graduate Certificate—Online",International Business,521101
"MSIB-INBU: International Business, MSIB",International Business,521101
"MS-INMA: International Management, MS",International Management,520101
"MS-INOT: Internet of Things, MS",Internet of Things,140999
"BA-IARS: International Affairs and Religious Studies, BA",Interntl Affairs/Religious Stu,450901
"BA-IACJ: International Affairs and Criminal Justice, BA",Intl Affairs/Criminal Justice,450901
"BA-IACA: International Affairs and Cultural Anthropology, BA",Intl Affairs/Cultural Anthro,450901
"BA-IAEC: International Affairs and Economics, BA",Intl Affairs/Economics,450604
"BS-IAIB: International Affairs and International Business, BS",Intl Affairs/Intl Business,450901
"CERTG-INVS: Investments, Graduate Certificate",Investments,520807
"CERTG-TIPS: IP Telephony Systems, Graduate Certificate",IP/Telephony Systems,110901
"BA-JESR: Jewish Studies and Religion, BA",Jewish Studies/Religion,380206
"BA-JOUR: Journalism, BA",Journalism,090401
"MA-JOUR: Journalism, MA",Journalism,090401
"BA-JOCM: Journalism and Communication Studies, BA",Journalism/Comm Studies,090401
"BA-JOCA: Journalism and Cultural Anthropology, BA",Journalism/Cultural Anthro,090401
"BS-JODE: Journalism and Design, BS",Journalism/Design,090401
"BA-JOEN: Journalism and English, BA",Journalism/English,090401
"BS-JLID: Journalism and Interaction Design, BS",Journalism/Interaction Design,090401
"BA-JOIA: Journalism and International Affairs, BA",Journalism/Intl Affairs,090401
"BA-JOPO: Journalism and Political Science, BA",Journalism/Political Science,090401
"BA-JOSO: Journalism and Sociology, BA",Journalism/Sociology,090401
"BLA-LARC: Landscape Architecture, BLA",Landscape Architecture,040601
"JD-LAW: Law, JD",Law,220101
"JD-LAW-P: Law, JD—Part-Time Program",Law,220101
"LLM-LAW: Law, LLM—Experiential",Law,220101
"LLM-LAW-O: Law, LLM—Online",Law,220101
"LLM-LAW-T: Law, LLM",Law,220101
"P-DLP-LAPO: Law And Policy, DLP",Law and Policy,229999
"P-BS-LEAD: Leadership, BS",Leadership,520213
"P-CERTG-LEAD: Leadership, Graduate Certificate",Leadership,520213
"P-CERTU-LEAD: Leadership, Undergraduate Certificate",Leadership,520213
"P-MS-LEAD: Leadership, MS",Leadership,520213
"CERTG-LEPO: Leading People and Organizations, Graduate Certificate",Leading People  Organizations,521099
"P-CERTG-PMTE: Leading and Managing Technical Projects, Graduate Certificate",Leadng  Managng Tech Projects,520211
"CERTG-LEAN: Lean Six Sigma, Graduate Certificate",Lean Six Sigma,140101
"P-CERTG-LXDT: Learning Experience Design and Technology, Graduate Certificate",Learning Exp Design  Tech,130501
"P-MPS-LXDT: Learning Experience Design and Technology, MPS",Learning Exp Design  Tech,130501
"CERTG-LEDS: Legal Design, Graduate Certificate",Legal Design,220299
"MLS-LEGS: Legal Studies, MLS—Online",Legal Studies,229999
"BS-LING: Linguistics, BS",Linguistics,160102
"BA-LICS: Linguistics and Communication Studies, BA",Linguistics/Comm Studies,160102
"BS-LICA: Linguistics and Cultural Anthropology, BS",Linguistics/Cultural Anthro,450204
"BA-LIEN: Linguistics and English, BA",Linguistics/English,160102
"BS-LIPS: Linguistics and Psychology, BS",Linguistics/Psychology,160102
"BS-LISL: Linguistics and Speech-Language Pathology and Audiology, BS",Linguistics/Speech-Lng Pth Aud,160102
"MS-MGMT: Management, MS",Management,520201
"P-BS-MGMT: Management, BS",Management,520201
"CERTG-MQOB: Manufacturing and Quality Operations in Biotechnology, Graduate Certificate",Manuf  Qual Oper in Biotech,512010
"MS-MRES: Marine and Environmental Sciences, MS",Marine  Environment Sciences,030104
"PHD-MRES: Marine and Environmental Sciences, PhD",Marine  Environment Sciences,030104
"PHD-MRES-A: Marine and Environmental Sciences, PhD—Advanced Entry",Marine  Environment Sciences,030104
"BS-MARB: Marine Biology, BS",Marine Biology,261302
"BS-MARB3: Marine Biology, BS with Three Seas",Marine Biology,261302
"MS-MARB: Marine Biology, MS",Marine Biology,261302
"CERTG-MKTG: Marketing, Graduate Certificate",Marketing,521401
"CERTG-MKTG-O: Marketing, Graduate Certificate—Online",Marketing,521401
"CERTG-MKAN: Marketing Analytics, Graduate Certificate",Marketing Analytics,521402
"BA-MATH: Mathematics, BA",Mathematics,270101
"BS-MATH: Mathematics, BS",Mathematics,270101
"MS-MATH: Mathematics, MS",Mathematics,270101
"PHD-MATH: Mathematics, PhD",Mathematics,270101
"PHD-MATH-A: Mathematics, PhD—Advanced Entry",Mathematics,270101
"BS-MABA: Mathematics and Business Administration, BS",Mathematics/Business Admin,270101
"BS-MAPL: Mathematics and Philosophy, BS",Mathematics/Philosophy,270101
"BS-MAPH: Mathematics and Physics, BS",Mathematics/Physics,270101
"BS-MAPO: Mathematics and Political Science, BS",Mathematics/Political Science,270101
"BS-MAPY: Mathematics and Psychology, BS",Mathematics/Psychology,270101
"BS-MASO: Mathematics and Sociology, BS",Mathematics/Sociology,270101
"BSME-MECE: Mechanical Engineering, BSME",Mechanical Engineering,141901
"MSME-MECE: Mechanical Engineering with Concentration in General Mechanical Engineering, MSME",Mechanical Engineering,141901
"MSME-MECE: Mechanical Engineering with Concentration in Materials Science, MSME",Mechanical Engineering,141901
"MSME-MECE: Mechanical Engineering with Concentration in Mechanics and Design, MSME",Mechanical Engineering,141901
"MSME-MECE: Mechanical Engineering with Concentration in Mechatronics, MSME",Mechanical Engineering,141901
"MSME-MECE: Mechanical Engineering with Concentration in Thermofluids, MSME",Mechanical Engineering,141901
"PHD-MECE: Mechanical Engineering, PhD",Mechanical Engineering,141901
"PHD-MECE-A: Mechanical Engineering, PhD—Advanced Entry",Mechanical Engineering,141901
"BSME-MEDS: Mechanical Engineering and Design, BSME",Mechanical Engineering/Design,141901
"BSME-MEHI: Mechanical Engineering and History, BSME",Mechanical Engineering/History,141901
"BSME-MEPH: Mechanical Engineering and Physics, BSME",Mechanical Engineering/Physics,141901
"BSME-MEBE: Mechanical Engineering and Bioengineering, BSME",Mechanical Engr/Bioengineering,141901
"BSME-MECS: Mechanical Engineering and Computer Science, BSME",Mechanical Engr/Computer Sci,141901
"P-BS-MTRO: Mechatronics, BS",Mechatronics,144201
"BA-MSPH: Media and Screen Studies and Philosophy, BA",Media  Screen Stud/Philosophy,090199
"BA-MSHI: Media and Screen Studies and History, BA",Media  Screen Studies/History,090199
"MS-MEDA: Media Advocacy, MS",Media Advocacy,099999
"BA-MSST: Media and Screen Studies, BA",Media and Screen Studies,090199
"BFA-MART: Media Arts, BFA",Media Arts,500102
"BA-MACM: Media Arts and Communication Studies, BA",Media Arts/Comm Studies,500102
"MS-MIDC: Media Innovation and Data Communication, MS",Media Innovation and Data Comm,090702
"BA-MSJO: Media and Screen Studies and Journalism, BA",Media Screen Stu/Journalism,090199
"BA-MSPO: Media and Screen Studies and Political Science, BA",Media Screen Stu/Political Sci,090199
"BA-MSSO: Media and Screen Studies and Sociology, BA",Media Screen Stu/Sociology,090199
"BA-MSTH: Media and Screen Studies and Theatre, BA",Media Screen Stu/Theatre,090199
"BS-MSTH: Media and Screen Studies and Theatre, BS",Media Screen Stu/Theatre,090199
"BA-MSMA: Media and Screen Studies and Media Arts, BA",Media Screen Stud./Media Arts,090199
"BA-MSEN: Media and Screen Studies and English, BA",Media Screen Studies/English,090199
"P-CERTG-MDRA: Medical Device Regulatory Affairs, Graduate Certificate",Medical Device Regulatory Aff.,512799
"MS-MCDD: Medicinal Chemistry  Drug Discovery, MS",Medicinal Chem  Drug Discov,512004
"PHD-MCDD: Medicinal Chemistry and Drug Discovery, PhD",Medicinal Chem  Drug Discov,512004
"PHD-MCDD-A: Medicinal Chemistry and Drug Discovery, PhD—Advanced Entry",Medicinal Chem  Drug Discov,512004
"CERTG-MOBI: Molecular Biotechnology, Graduate Certificate",Molecular Biotechnology,261201
"MA-MSED: Multiple Subject Education, MA",Multiple Subject Education,131202
"BA-MUSI: Music, BA",Music,500901
"BS-MUSI-MUID: Music with Concentration in Music Industry, BS",Music,500901
"BS-MUSI-MUTE: Music with Concentration in Music Technology, BS",Music,500901
"BS-MUCM: Music and Communication Studies with Concentration in Music Industry, BS",Music/Communication Studies,500901
"CERTG-MFMG: Mutual Fund Management, Graduate Certificate",Mutual Fund Management,520807
"CERTG-NNMD: Nanomedicine, Graduate Certificate",Nanomedicine,300101
"MS-NNMD: Nanomedicine, MS",Nanomedicine,300101
"MS-NETS: Network Science, MS",Network Science,300601
"PHD-NETS: Network Science, PhD (BV, CS, SC, SH)",Network Science,300601
"P-CERTG-NCBR: Nonclinical Biomedical Product Regulation, Graduate Certificate",Nonclinical Biomed Product Reg,512002
"CERTG-NPSC: Nonprofit Sector, Philanthropy, and Social Change, Graduate Certificate",Nonprof-Philanth-Social Change,520206
"P-CERTG-NPMG: Nonprofit Management, Graduate Certificate",Nonprofit Management,520206
"P-MS-NPMG: Nonprofit Management, MS",Nonprofit Management,520206
"DNP-NUAN: Nurse Anesthesia, DNP",Nurse Anesthesia,513804
"BSN-NURS: Nursing, BSN",Nursing,513801
"BSN-NURS-2: Nursing, BSN—Accelerated Program for Second-Degree Students",Nursing,513801
"BSN-NURS-RN: Nursing, RN-to-BSN",Nursing,513801
"BSN-NURS-T: Nursing, BSN—Transfer Track",Nursing,513801
"CAGS-CCAC: Nursing—Adult-Gerontology Nurse Practitioner, Acute Care, CAGS",Nursing,513801
"CAGS-CCNN: Nursing—Neonatal Nurse Practitioner, CAGS",Nursing,513801
"CAGS-NUAN: Nurse Anesthesia, CAGS",Nursing,513801
"CAGS-PCAN: Nursing—Adult-Gerontology Nurse Practitioner, Primary Care, CAGS",Nursing,513801
"CAGS-PEAC: Nursing—Pediatric Nurse Practitioner, Acute Care, CAGS",Nursing,513801
"CAGS-PEPA: Nursing—Pediatric Nurse Practitioner, Acute and Primary Care, CAGS",Nursing,513801
"CAGS-PEPC: Nursing—Pediatric Nurse Practitioner, Primary Care, CAGS",Nursing,513801
"CAGS-PSMH: Nursing—Psychiatric-Mental Health Nurse Practitioner, CAGS",Nursing,513801
"DNP-CRNA: Nursing Practice with Concentration in Nurse Anesthesia, DNP",Nursing,513801
"DNP-NURS: Nursing, DNP (Post-Master's)",Nursing,513801
"DNP-NURS-BSE: Nursing, DNP",Nursing,513801
"MS-CCAC: Nursing—Adult-Gerontology Nurse Practitioner, Acute Care, MS",Nursing,513801
"MS-CCNN: Nursing—Neonatal Nurse Practitioner, MS",Nursing,513801
"MS-NUAD: Nursing Administration, MS",Nursing,513801
"MS-NUAN: Nursing Anesthesia, MS",Nursing,513801
"MS-NURS: Nursing, MS",Nursing,513801
"MS-NURS-DE: Nursing, MS—Direct Entry",Nursing,513801
"MS-PCAN: Nursing—Adult-Gerontology Nurse Practitioner, Primary Care, MS",Nursing,513801
"MS-PCFN: Nursing—Family Nurse Practitioner, Primary Care, MS",Nursing,513801
"MS-PEPA: Nursing—Pediatric Nurse Practitioner, Acute and Primary Care, MS",Nursing,513801
"MS-PEPC: Nursing—Pediatric Nurse Practitioner, Primary Care, MS",Nursing,513801
"MS-PSMH: Nursing—Psychiatric-Mental Health Nurse Practitioner, MS",Nursing,513801
"PHD-NURS: Nursing, PhD",Nursing,513801
"PHD-NURS-MSE: Nursing, PhD—Advanced Entry (Post-MSN)",Nursing,513801
"MS-NULD: Nursing Leadership, MS",Nursing Leadership,513802
"CERTG-OMIC: Omics, Graduate Certificate",Omics,261103
"MSOR-OPRE: Operations Research, MSOR",Operations Research,143701
"MSOR-OPRE-AS: Operations Research, MSOR",Operations Research,143701
"P-CERTG-ORGC: Organizational Communication, Graduate Certificate",Organizational Communication,090101
"P-MS-ORLD: Organizational Leadership, MS",Organizational Leadership,520213
"CERTG-PTSF: Patient Safety, Graduate Certificate",Patient Safety,512213
"CERTG-PEAC: Pediatric Nurse Practitioner, Acute Care, Graduate Certificate",Pediatric Acute Care PNP,513814
"BS-PFER: Performance and Extended Realities, BS",Performance and Ext Realities,100304
"PHD-PHEI: Personal Health Informatics, PhD",Personal Health Informatics,512706
"MS-PHEN: Pharmaceutical Engineering, MS",Pharmaceutical Engineering,140702
"BS-PHSC: Pharmaceutical Sciences, BS",Pharmaceutical Sciences,512010
"MS-PHSC: Pharmaceutical Sciences, MS",Pharmaceutical Sciences,512010
"PHD-PHSC: Pharmaceutical Sciences, PhD",Pharmaceutical Sciences,512010
"PHD-PHSC-A: Pharmaceutical Sciences, PhD—Advanced Entry",Pharmaceutical Sciences,512010
"CERTG-PHTE: Pharmaceutical Technologies, Graduate Certificate",Pharmaceutical Technologies,261201
"MS-PHDD: Pharmaceutics and Drug Delivery, MS",Pharmaceutics  Drug Delivery,512010
"PHD-PHDD: Pharmaceutics and Drug Delivery, PhD",Pharmaceutics  Drug Delivery,512010
"PHD-PHDD-A: Pharmaceutics and Drug Delivery, PhD—Advanced Entry",Pharmaceutics  Drug Delivery,512010
"MS-PHAC: Pharmacology, MS",Pharmacology,261001
"PHD-PHAC: Pharmacology, PhD",Pharmacology,261001
"PHD-PHAC-A: Pharmacology, PhD—Advanced Entry",Pharmacology,261001
"PHARMD-G: Pharmacy, PharmD",Pharmacy,512001
"PHARMD-G-DE: Pharmacy, PharmD—Direct Entry",Pharmacy,512001
"PHARMD-U: Pharmacy, PharmD",Pharmacy,512001
"BS-PHST: Pharmacy Studies, BS",Pharmacy Studies,512001
"PHARMD-U: Pharmacy Studies, BS",Pharmacy Studies,512001
"BA-PHIL: Philosophy, BA",Philosophy,380101
"BS-PHIL: Philosophy, BS",Philosophy,380101
"DPT-PHTH-DE: Physical Therapy, DPT—Postbaccalaureate Entry",Physical Therapy,512308
"DPT-PHTH-G: Physical Therapy, DPT—Graduate",Physical Therapy,512308
"DPT-PHTH-U: Physical Therapy, DPT - Undergraduate",Physical Therapy,512308
"P-DPT-PHT-DE: Transitional Doctor of Physical Therapy, DPT—Direct Entry",Physical Therapy,512308
"P-DPT-PHTH: Transitional Doctor of Physical Therapy, DPT",Physical Therapy,512308
"MS-PHAS: Physician Assistant, MS",Physician Assistant,510912
"BS-PHYS: Physics, BS",Physics,400801
"MS-PHYS: Physics, MS",Physics,400801
"PHD-PHYS: Physics, PhD",Physics,400801
"PHD-PHYS-A: Physics, PhD—Advanced Entry",Physics,400801
"BS-PHMU: Physics and Music with Concentration in Music Technology, BS",Physics/Music,400801
"BS-PHPH: Physics and Philosophy, BS",Physics/Philosophy,400801
"BA-POLI: Political Science, BA",Political Science,451001
"BS-POLI: Political Science, BS",Political Science,451001
"MA-POLI: Political Science, MA",Political Science,451001
"P-BS-POLI: Political Science, BS",Political Science,451001
"PHD-POLI: Political Science, PhD",Political Science,451001
"PHD-POLI-A: Political Science, PhD—Advanced Entry",Political Science,451001
"BS-POBA: Political Science and Business Administration, BS",Political Science/Business Adm,451001
"BA-POCM: Political Science and Communication Studies, BA",Political Science/Comm Studies,451001
"BS-POCM: Political Science and Communication Studies, BS",Political Science/Comm Studies,451001
"BA-POEC: Political Science and Economics, BA",Political Science/Economics,451001
"BS-POEC: Political Science and Economics, BS",Political Science/Economics,450603
"BA-POHS: Political Science and Human Services, BA",Political Science/HumanService,451001
"BS-POHS: Political Science and Human Services, BS",Political Science/HumanService,451001
"BA-POIA: Political Science and International Affairs, BA",Political Science/Intl Affairs,451001
"BA-POPL: Political Science and Philosophy, BA",Political Science/Philosophy,451001
"BS-POPL: Political Science and Philosophy, BS",Political Science/Philosophy,451001
"BS-PPBA: Politics, Philosophy, and Economics and Business Administration, BS","Politics, Phil  Econ/Bus Adm",451099
"BS-PSPE: Politics, Philosophy, and Economics, BS","Politics, Philosophy, and Econ",451099
"MS-POHE: Population Health, MS",Population Health,512299
"PHD-POHE: Population Health, PhD",Population Health,512299
"PHD-POHE-A: Population Health, PhD—Advanced Entry",Population Health,512299
"CERTG-PSTE: Postsecondary Teaching, Graduate Certificate",Postsecondary Teaching,131214
"CERTG-PLEJ: Poverty Law and Economic Justice, Graduate Certificate",Poverty Law  Economic Justice,220299
"P-CERTU-PMED: Premedical Studies, Postbaccalaureate Undergraduate Certificate",Pre-Medical Studies,511102
"CERTG-PCFN: Primary Care Nursing FNP, Graduate Certificate",Primary Care Nursing FNP,513805
"P-CERTU-PRMA: Principles of Manufacturing, Undergraduate Certificate",Principles of Manufacturing,150613
"CERTG-PRVL: Privacy Law, Graduate Certificate",Privacy Law,220299
"CERTG-PSEN: Process Safety Engineering, Graduate Certificate",Process Safety Engineering,140799
"CERTG-PRSC: Process Science, Graduate Certificate",Process Science,261201
"MS-PRDV: Product Development, MS",Product Development,142701
"MSAMBA-PRAC: Accounting and Business Administration, MSAMBA",Professional Accounting,520301
"P-CERTG-PSAD: Professional Sports Administration, Graduate Certificate",Professional Sports Administra,310504
"P-CERTG-PBUA: Project Business Analysis, Graduate Certificate",Project Business Analysis,521302
"P-BS-PMGT: Project Management, BS",Project Management,521301
"P-CERTG-PMGT: Project Management, Graduate Certificate",Project Management,521301
"P-CERTU-PMGT: Project Management, Undergraduate Certificate",Project Management,521301
"P-MS-PMGT: Project Management, MS",Project Management,521301
"BS-PSYC: Psychology, BS",Psychology,422799
"MS-PSYC: Psychology, MS",Psychology,422799
"P-BS-PSYC: Psychology, BS",Psychology,422799
"PHD-PSYC: Psychology, PhD",Psychology,422799
"PHD-PSYC-A: Psychology, PhD—Advanced Entry",Psychology,422799
"BS-PSDE: Psychology and Design, BS",Psychology/Design,422799
"BS-PSMU: Psychology and Music, BS",Psychology/Music,422799
"BS-PSTH: Psychology and Theatre, BS",Psychology/Theatre,422799
"MPA-PUAD: Public Administration, MPA",Public Administration,440401
"P-CERTG-PUMR: Public and Media Relations, Graduate Certificate",Public and Media Relations,090102
"BA-PUHE: Public Health, BA",Public Health,512201
"MPH-PUHE: Public Health, MPH",Public Health,512201
"MPH-PUHE-EX: Public Health, MPH—Accelerated",Public Health,512201
"BA-PHLW: Public Health and Law, BA",Public Health and Law,440503
"BA-PHCM: Public Health and Communication Studies, BA",Public Health/Comm Studies,512201
"BA-PHCA: Public Health and Cultural Anthropology, BA",Public Health/Cultural Anthro,512201
